FeedbackID,UserID,ProductID,FeedbackText,Rating,FeedbackDate
72,12,6,"Very uncomfortable, couldn't use it for long",2,2024-04-12
73,13,4,"Great product, helped me a lot while traveling",5,2024-01-15
74,14,17,"Good product, but needs better customization options",3,2024-03-08
75,15,18,Comfortable but heavy for long use,4,2024-08-19
76,16,1,"Great product, but weight is a concern for long sessions",4,2024-02-28
77,17,3,The most addictive game I've played in a while,5,2024-04-07
78,18,13,Perfect for gaming and long work sessions,5,2024-05-28
79,19,16,"Good for beginners, but lacks advanced features",3,2024-10-11
80,20,10,"Still the best headset for meetings, love it",4,2024-12-09
81,1,3,"Excellent product, highly recommended",5,2024-07-19
82,2,7,"Decent, but can get repetitive",3,2024-09-30
83,3,12,"Great for personal use, not so much for groups",4,2024-02-14
84,4,8,"Underwhelming, didn't meet expectations",2,2024-03-29
85,5,5,"Fantastic headset, my favorite so far!",5,2024-05-11
86,6,14,"Good for short uses, but heavy for long sessions",3,2024-06-08
87,7,19,"Thrilling experience, would recommend",5,2024-08-17
88,8,20,"Very useful for shopping, but needs better search functionality",3,2024-11-04
89,9,2,"Quality was disappointing, wouldn't buy again",1,2024-07-03
90,10,9,"Comfortable, use it daily for work",5,2024-04-20
91,11,11,"Great experience, but could use more challenges",4,2024-02-02
92,12,6,"Not comfortable at all, can't wear it for long",2,2024-06-22
93,13,4,"Helped me navigate the city, would definitely recommend",5,2024-08-10
94,14,17,"Good immersion, but could be improved with more content",4,2024-09-28
95,15,18,"Very comfortable, but bulky for extended use",4,2024-10-19
96,16,1,"Great product, but a bit too heavy for long sessions",4,2024-05-06
97,17,3,Can't stop playing! So addictive,5,2024-01-23
98,18,13,"Perfect for both gaming and work, would recommend",5,2024-12-14
99,19,16,"Good app for beginners, but lacks complexity",3,2024-11-06
100,20,10,"Very comfortable and functional, still my favorite headset",5,2024-09-14
